Student,Teacher,EL,September IND,December IND
1,1,0,9,12
2,1,,0,0
3,1,1,8,10
4,1,,12,13
5,1,1,9,9
6,1,1,7,10
7,1,1,9,11
8,1,1,11,12
9,1,0,7,7
10,1,1,10,10
11,1,1,13,13
12,1,1,11,12
13,1,1,8,10
14,1,1,11,12
15,1,1,6,6
16,1,1,5,5
17,1,0,13,13
18,1,0,12,12
19,1,1,13,15
20,1,1,14,15
21,1,1,4,4
22,1,1,8,8
23,2,1,12,14
24,2,1,10,12
25,2,0,7,7
26,2,1,9,10
27,2,1,3,3
28,2,2,3,4
29,2,1,5,9
30,2,1,12,13
31,2,1,10,11
32,2,,12,13
33,2,1,8,8
34,2,0,5,7
35,2,1,7,8
36,2,1,12,13
37,2,0,14,16
38,2,1,8,9
39,2,1,11,12
40,2,1,11,12
41,2,1,13,13
42,2,1,10,13
43,2,1,12,12
44,2,1,5,7
45,3,1,11,13
46,3,1,11,13
47,3,1,10,12
48,3,1,6,8
49,3,1,9,12
50,3,0,10,13
51,3,,5,9
52,3,1,2,4
53,3,1,11,12
54,3,1,3,4
55,3,0,5,7
56,3,1,9,11
7,3,1,8,10
58,3,1,2,4
59,3,0,5,9
60,3,1,10,11
61,3,,0,0
62,3,0,11,13
63,3,,7,8
64,3,1,8,10
65,3,1,8,10
66,3,1,10,13
